CalDateValue,JourneyRef,VehicleRef,Driver
20201101,107010,1699,170-1111
20201101,457010,8816,171-1111
20201101,37015,8707,171-1111
20201101,17016,1575,170-1111
20201101,147005,8868,171-1111
20201101,447003,8807,171-1111
20201101,227010,8827,171-1111
20201101,777002,1635,170-1111
20201101,107009,1702,170-1111
20201101,27017,1571,170-1111
20201101,407005,8721,171-400393
20201101,437001,8789,171-1111
20201101,127010,8764,171-1111
20201101,207007,8742,171-1111
20201101,107008,1696,170-1111
20201101,407012,8735,171-1111
20201101,127009,8762,171-1111
20201101,427007,8817,171-1111
20201101,417007,8796,171-1111
20201101,17018,1561,170-1111
20201101,37017,8708,171-1111
20201101,727005,1633,170-1111
20201101,467005,1603,170-1111
20201101,257009,8724,171-1111
20201101,707008,1776,170-1111
20201101,457011,8812,171-1111
20201101,217007,8811,171-1111
20201101,27016,1568,170-1111
20201101,237009,1600,170-1111
20201101,257012,8744,171-1111
20201101,287008,8815,171-1111
20201101,237008,1596,170-1111
20201101,147014,8828,171-1111
20201101,747004,1862,170-1111
20201101,27018,1565,170-1111
20201101,17017,1569,170-1111
20201101,37018,8713,171-1111
20201101,407014,8721,171-400393
20201101,107011,1703,170-1111
20201101,137008,8833,171-1111
20201101,107012,1700,170-1111
20201101,707005,1778,170-1111
20201101,147007,8872,171-1111
20201101,457012,8813,171-1111
20201101,437002,8789,171-1111
20201101,797002,8814,171-1111
20201101,227011,8847,171-1111
20201101,27019,1535,170-1111
20201101,137007,8838,171-1111
20201101,117011,8869,171-1111
20201101,117012,8830,171-1111
20201101,127012,8770,171-1111
20201101,117014,8856,171-1111
20201101,407007,8735,171-1111
20201101,417004,8796,171-1111
20201101,147009,8854,171-1111
20201101,107030,1636,170-1111
20201101,267003,8803,171-1111
20201101,427009,8808,171-1111
20201101,227013,8837,171-1111
20201101,37019,8705,171-1111
20201101,267006,8810,171-1111
20201101,227012,8829,171-1111
20201101,127011,8761,171-1111
20201101,207010,8727,171-1111
20201101,257014,8722,171-1111
20201101,237011,1616,170-1111
20201101,427014,8817,171-1111
20201101,17019,1553,170-1111
20201101,237010,1617,170-1111
20201101,457013,8816,171-1111
20201101,457014,8812,171-1111
20201101,147016,8826,171-1111
20201101,257011,8740,171-1111
20201101,707010,1772,170-1111
20201101,107013,1696,170-1111
20201101,207009,8737,171-1111
20201101,37020,8714,171-1111
20201101,467002,1603,170-1111
20201101,17020,1577,170-1111
20201101,707007,1782,170-1111
20201101,427016,8808,171-1111
20201101,167005,2162,170-1111
20201101,107014,1701,170-1111
20201101,117013,8864,171-1111
20201101,447002,8807,171-1111
20201101,27021,1573,170-1111
20201101,407009,8721,171-1111
20201101,117016,8866,171-1111
20201101,127014,8767,171-1111
20201101,727004,1633,170-1111
20201101,797005,8814,171-1111
20201101,757001,1638,170-1111
20201101,167006,1602,170-1111
20201101,407016,8735,171-1111
20201101,137010,8865,171-1111
20201101,287009,8815,171-1111
20201101,787001,1636,170-1111
20201101,117014,8856,171-1111
20201101,227015,8827,171-1111
20201101,427011,8817,171-1111
20201101,227014,8841,171-1111
20201101,127013,8764,171-1111
20201101,417009,8796,171-1111
20201101,217010,8811,171-1111
20201101,777001,1635,170-1111
20201101,747003,1862,170-1111
20201101,437003,8789,171-1111
20201101,27020,1549,170-1111
20201101,137009,8833,171-1111
20201101,257016,8736,171-1111
20201101,237013,1596,170-1111
20201101,117015,8836,171-1111
20201101,237012,1600,170-1111
20201101,457015,8813,171-1111
20201101,17021,1570,170-1111
20201101,147018,8868,171-1111
20201101,37022,8707,171-1111
20201101,37024,8708,171-1111
20201101,407018,8721,171-1111
20201101,107015,1699,170-1111
20201101,267008,8803,171-1111
20201101,267005,8810,171-1111
20201101,257018,8724,171-1111
20201101,257013,8744,171-1111
20201101,27023,1534,170-1111
20201101,37021,8713,171-1111
20201101,457016,8816,171-1111
20201101,17022,1557,170-1111
20201101,437004,8789,171-1111
